AGG,VNQ
112.19,64.38
111.8,64.69
111.87,65.12
112.06,64.69
111.74,64.97
112.0,64.68
112.14,63.91
112.08,63.74
112.05,63.59
112.25,63.54
112.28,62.35
112.17,62.06
112.21,62.44
112.29,63.21
112.08,63.68
111.89,63.57
111.96,64.04
112.0,64.17
112.15,63.81
112.17,63.73
112.31,64.08
112.25,64.21
111.6,64.47
111.67,64.57
111.77,64.37
111.76,64.97
111.66,65.21
111.68,65.18
111.64,65.34
111.33,65.16
111.15,64.66
111.35,64.65
111.08,64.99
110.82,65.66
111.01,65.57
111.02,66.43
111.12,66.32
111.13,65.61
111.05,65.3
111.11,65.54
111.28,65.11
111.08,65.8
110.95,66.62
110.67,66.61
110.79,66.92
110.73,67.07
110.83,66.94
110.75,67.13
110.74,67.2
110.85,67.16
110.95,67.35
110.98,67.67
111.04,67.59
110.8,67.8
110.93,68.09
110.87,68.44
110.99,68.42
110.84,68.56
110.57,68.95
110.41,69.13
110.34,69.33
110.29,68.67
110.39,68.26
109.94,68.66
110.25,68.5
110.02,68.34
110.21,68.58
110.25,68.29
110.28,68.92
110.17,69.02
110.15,69.54
110.04,69.5
110.24,69.21
110.25,69.24
110.12,69.79
110.19,69.34
110.25,68.82
110.31,69.51
110.73,68.19
110.7,68.66
110.73,69.16
110.83,69.09
110.66,69.32
110.58,69.84
110.49,70.39
110.37,70.18
110.14,69.85
109.82,69.97
109.88,70.03
110.08,69.77
109.99,69.84
110.11,70.28
110.21,70.44
110.31,70.05
110.47,69.71
110.35,69.93
110.37,69.72
110.41,69.55
110.37,69.56
110.5,70.16
110.73,70.29
110.73,70.53
110.57,70.74
110.45,70.96
110.57,70.71
110.88,71.86
111.2,72.25
111.01,72.83
111.05,72.84
110.82,73.29
110.84,73.72
111.2,73.9
111.25,72.37
111.25,73.57
111.25,72.79
111.23,72.68
111.24,73.8
111.38,73.7
111.33,74.11
111.31,74.27
111.26,74.02
111.49,73.78
111.56,74.41
111.54,75.28
111.39,74.68
111.4,75.17
110.99,75.47
110.81,75.86
110.75,76.28
110.85,76.32
110.7,75.82
110.48,76.1
110.38,76.46
110.12,76.74
110.28,77.5
110.58,77.1
110.31,77.53
110.2,77.71
110.29,78.15
109.92,76.25
109.88,74.82
109.88,74.63
109.2,73.99
109.35,72.42
109.32,71.74
109.11,70.78
108.97,71.18
108.73,70.19
108.67,69.61
108.95,70.73
108.61,70.74
108.39,70.13
108.4,69.09
108.22,68.15
108.75,69.92
108.78,70.18
108.7,70.38
108.66,70.74
107.93,68.57
107.21,65.72
106.61,66.61
106.18,65.68
106.3,66.78
106.75,67.79
107.2,69.15
107.21,68.72
107.16,68.57
107.16,69.62
107.01,69.16
105.84,68.83
106.39,68.9
106.5,69.88
106.22,69.91
106.93,71.6
106.81,71.16
107.04,71.46
107.21,71.51
107.44,71.77
107.24,72.38
107.52,72.33
107.66,72.55
107.6,72.47
107.25,71.06
107.29,71.17
107.26,71.23
107.26,70.7
107.22,70.49
107.3,69.34
106.49,69.07
106.85,68.73
106.9,68.68
106.79,68.44
106.93,68.26
107.08,68.29
107.15,68.89
107.08,68.4
106.65,67.46
106.51,67.2
106.13,65.97
105.83,64.35
105.5,63.5
105.81,64.94
105.42,64.79
105.55,65.18
105.9,65.86
106.09,65.67
106.37,65.35
106.17,64.95
106.38,65.05
106.21,64.5
105.75,63.94
105.6,64.49
104.89,63.81
105.28,64.8
105.49,66.15
105.3,66.1
105.66,66.63
105.54,66.2
105.69,66.39
105.91,67.05
106.01,67.01
106.9,69.28
106.77,69.22
106.77,68.09
106.85,67.01
107.1,66.5
107.25,66.72
107.23,67.13
107.29,66.85
107.2,66.14
106.93,67.1
107.07,67.2
107.15,66.03
107.06,65.9
107.04,66.2
106.99,65.48
106.91,65.49
107.03,67.16
107.07,67.83
106.87,67.87
106.82,67.62
107.28,68.89
107.58,69.93
107.76,69.86
107.66,69.44
108.04,70.08
108.01,70.21
107.97,70.19
108.01,71.05
107.96,70.54
108.09,70.13
107.89,69.54
107.9,69.13
107.45,69.49
107.56,69.62
107.24,68.48
107.41,68.38
107.49,67.53
106.82,66.62
106.76,66.69
106.72,66.39
107.0,66.82
107.33,67.29
107.36,67.54
107.57,67.12
107.28,66.65
106.98,65.84
107.09,66.35
107.24,66.09
107.32,65.78
107.35,65.55
107.4,66.11
107.44,65.5
106.83,65.12
106.96,64.99
106.68,65.23
106.45,65.46
106.63,65.93
106.76,66.25
106.93,66.08
106.76,64.56
106.6,64.2
106.65,64.36
106.73,64.58
106.91,64.88
106.86,66.03
106.68,65.12
106.86,65.52
106.81,65.65
106.66,64.7
106.39,64.75
106.43,64.89
106.53,64.91
106.43,64.56
106.5,64.57
106.54,64.93
106.68,65.26
106.73,65.55
