Date,AGG,VNQ
2012-10-31,112.19,64.38
2012-11-01,111.8,64.69
2012-11-02,111.87,65.12
2012-11-05,112.06,64.69
2012-11-06,111.74,64.97
2012-11-07,112.0,64.68
2012-11-08,112.14,63.91
2012-11-09,112.08,63.74
2012-11-12,112.05,63.59
2012-11-13,112.25,63.54
2012-11-14,112.28,62.35
2012-11-15,112.17,62.06
2012-11-16,112.21,62.44
2012-11-19,112.29,63.21
2012-11-20,112.08,63.68
2012-11-21,111.89,63.57
2012-11-23,111.96,64.04
2012-11-26,112.0,64.17
2012-11-27,112.15,63.81
2012-11-28,112.17,63.73
2012-11-29,112.31,64.08
2012-11-30,112.25,64.21
2012-12-03,111.6,64.47
2012-12-04,111.67,64.57
2012-12-05,111.77,64.37
2012-12-06,111.76,64.97
2012-12-07,111.66,65.21
2012-12-10,111.68,65.18
2012-12-11,111.64,65.34
2012-12-12,111.33,65.16
2012-12-13,111.15,64.66
2012-12-14,111.35,64.65
2012-12-17,111.08,64.99
2012-12-18,110.82,65.66
2012-12-19,111.01,65.57
2012-12-20,111.02,66.43
2012-12-21,111.12,66.32
2012-12-24,111.13,65.61
2012-12-26,111.05,65.3
2012-12-27,111.11,65.54
2012-12-28,111.28,65.11
2012-12-31,111.08,65.8
2013-01-02,110.95,66.62
2013-01-03,110.67,66.61
2013-01-04,110.79,66.92
2013-01-07,110.73,67.07
2013-01-08,110.83,66.94
2013-01-09,110.75,67.13
2013-01-10,110.74,67.2
2013-01-11,110.85,67.16
2013-01-14,110.95,67.35
2013-01-15,110.98,67.67
2013-01-16,111.04,67.59
2013-01-17,110.8,67.8
2013-01-18,110.93,68.09
2013-01-22,110.87,68.44
2013-01-23,110.99,68.42
2013-01-24,110.84,68.56
2013-01-25,110.57,68.95
2013-01-28,110.41,69.13
2013-01-29,110.34,69.33
2013-01-30,110.29,68.67
2013-01-31,110.39,68.26
2013-02-01,109.94,68.66
2013-02-04,110.25,68.5
2013-02-05,110.02,68.34
2013-02-06,110.21,68.58
2013-02-07,110.25,68.29
2013-02-08,110.28,68.92
2013-02-11,110.17,69.02
2013-02-12,110.15,69.54
2013-02-13,110.04,69.5
2013-02-14,110.24,69.21
2013-02-15,110.25,69.24
2013-02-19,110.12,69.79
2013-02-20,110.19,69.34
2013-02-21,110.25,68.82
2013-02-22,110.31,69.51
2013-02-25,110.73,68.19
2013-02-26,110.7,68.66
2013-02-27,110.73,69.16
2013-02-28,110.83,69.09
2013-03-01,110.66,69.32
2013-03-04,110.58,69.84
2013-03-05,110.49,70.39
2013-03-06,110.37,70.18
2013-03-07,110.14,69.85
2013-03-08,109.82,69.97
2013-03-11,109.88,70.03
2013-03-12,110.08,69.77
2013-03-13,109.99,69.84
2013-03-14,110.11,70.28
2013-03-15,110.21,70.44
2013-03-18,110.31,70.05
2013-03-19,110.47,69.71
2013-03-20,110.35,69.93
2013-03-21,110.37,69.72
2013-03-22,110.41,69.55
2013-03-25,110.37,69.56
2013-03-26,110.5,70.16
2013-03-27,110.73,70.29
2013-03-28,110.73,70.53
2013-04-01,110.57,70.74
2013-04-02,110.45,70.96
2013-04-03,110.57,70.71
2013-04-04,110.88,71.86
2013-04-05,111.2,72.25
2013-04-08,111.01,72.83
2013-04-09,111.05,72.84
2013-04-10,110.82,73.29
2013-04-11,110.84,73.72
2013-04-12,111.2,73.9
2013-04-15,111.25,72.37
2013-04-16,111.25,73.57
2013-04-17,111.25,72.79
2013-04-18,111.23,72.68
2013-04-19,111.24,73.8
2013-04-22,111.38,73.7
2013-04-23,111.33,74.11
2013-04-24,111.31,74.27
2013-04-25,111.26,74.02
2013-04-26,111.49,73.78
2013-04-29,111.56,74.41
2013-04-30,111.54,75.28
2013-05-01,111.39,74.68
2013-05-02,111.4,75.17
2013-05-03,110.99,75.47
2013-05-06,110.81,75.86
2013-05-07,110.75,76.28
2013-05-08,110.85,76.32
2013-05-09,110.7,75.82
2013-05-10,110.48,76.1
2013-05-13,110.38,76.46
2013-05-14,110.12,76.74
2013-05-15,110.28,77.5
2013-05-16,110.58,77.1
2013-05-17,110.31,77.53
2013-05-20,110.2,77.71
2013-05-21,110.29,78.15
2013-05-22,109.92,76.25
2013-05-23,109.88,74.82
2013-05-24,109.88,74.63
2013-05-28,109.2,73.99
2013-05-29,109.35,72.42
2013-05-30,109.32,71.74
2013-05-31,109.11,70.78
2013-06-03,108.97,71.18
2013-06-04,108.73,70.19
2013-06-05,108.67,69.61
2013-06-06,108.95,70.73
2013-06-07,108.61,70.74
2013-06-10,108.39,70.13
2013-06-11,108.4,69.09
2013-06-12,108.22,68.15
2013-06-13,108.75,69.92
2013-06-14,108.78,70.18
2013-06-17,108.7,70.38
2013-06-18,108.66,70.74
2013-06-19,107.93,68.57
2013-06-20,107.21,65.72
2013-06-21,106.61,66.61
2013-06-24,106.18,65.68
2013-06-25,106.3,66.78
2013-06-26,106.75,67.79
2013-06-27,107.2,69.15
2013-06-28,107.21,68.72
2013-07-01,107.16,68.57
2013-07-02,107.16,69.62
2013-07-03,107.01,69.16
2013-07-05,105.84,68.83
2013-07-08,106.39,68.9
2013-07-09,106.5,69.88
2013-07-10,106.22,69.91
2013-07-11,106.93,71.6
2013-07-12,106.81,71.16
2013-07-15,107.04,71.46
2013-07-16,107.21,71.51
2013-07-17,107.44,71.77
2013-07-18,107.24,72.38
2013-07-19,107.52,72.33
2013-07-22,107.66,72.55
2013-07-23,107.6,72.47
2013-07-24,107.25,71.06
2013-07-25,107.29,71.17
2013-07-26,107.26,71.23
2013-07-29,107.26,70.7
2013-07-30,107.22,70.49
2013-07-31,107.3,69.34
2013-08-01,106.49,69.07
2013-08-02,106.85,68.73
2013-08-05,106.9,68.68
2013-08-06,106.79,68.44
2013-08-07,106.93,68.26
2013-08-08,107.08,68.29
2013-08-09,107.15,68.89
2013-08-12,107.08,68.4
2013-08-13,106.65,67.46
2013-08-14,106.51,67.2
2013-08-15,106.13,65.97
2013-08-16,105.83,64.35
2013-08-19,105.5,63.5
2013-08-20,105.81,64.94
2013-08-21,105.42,64.79
2013-08-22,105.55,65.18
2013-08-23,105.9,65.86
2013-08-26,106.09,65.67
2013-08-27,106.37,65.35
2013-08-28,106.17,64.95
2013-08-29,106.38,65.05
2013-08-30,106.21,64.5
2013-09-03,105.75,63.94
2013-09-04,105.6,64.49
2013-09-05,104.89,63.81
2013-09-06,105.28,64.8
2013-09-09,105.49,66.15
2013-09-10,105.3,66.1
2013-09-11,105.66,66.63
2013-09-12,105.54,66.2
2013-09-13,105.69,66.39
2013-09-16,105.91,67.05
2013-09-17,106.01,67.01
2013-09-18,106.9,69.28
2013-09-19,106.77,69.22
2013-09-20,106.77,68.09
2013-09-23,106.85,67.01
2013-09-24,107.1,66.5
2013-09-25,107.25,66.72
2013-09-26,107.23,67.13
2013-09-27,107.29,66.85
2013-09-30,107.2,66.14
2013-10-01,106.93,67.1
2013-10-02,107.07,67.2
2013-10-03,107.15,66.03
2013-10-04,107.06,65.9
2013-10-07,107.04,66.2
2013-10-08,106.99,65.48
2013-10-09,106.91,65.49
2013-10-10,107.03,67.16
2013-10-11,107.07,67.83
2013-10-14,106.87,67.87
2013-10-15,106.82,67.62
2013-10-16,107.28,68.89
2013-10-17,107.58,69.93
2013-10-18,107.76,69.86
2013-10-21,107.66,69.44
2013-10-22,108.04,70.08
2013-10-23,108.01,70.21
2013-10-24,107.97,70.19
2013-10-25,108.01,71.05
2013-10-28,107.96,70.54
2013-10-29,108.09,70.13
2013-10-30,107.89,69.54
2013-10-31,107.9,69.13
2013-11-01,107.45,69.49
2013-11-04,107.56,69.62
2013-11-05,107.24,68.48
2013-11-06,107.41,68.38
2013-11-07,107.49,67.53
2013-11-08,106.82,66.62
2013-11-11,106.76,66.69
2013-11-12,106.72,66.39
2013-11-13,107.0,66.82
2013-11-14,107.33,67.29
2013-11-15,107.36,67.54
2013-11-18,107.57,67.12
2013-11-19,107.28,66.65
2013-11-20,106.98,65.84
2013-11-21,107.09,66.35
2013-11-22,107.24,66.09
2013-11-25,107.32,65.78
2013-11-26,107.35,65.55
2013-11-27,107.4,66.11
2013-11-29,107.44,65.5
2013-12-02,106.83,65.12
2013-12-03,106.96,64.99
2013-12-04,106.68,65.23
2013-12-05,106.45,65.46
2013-12-06,106.63,65.93
2013-12-09,106.76,66.25
2013-12-10,106.93,66.08
2013-12-11,106.76,64.56
2013-12-12,106.6,64.2
2013-12-13,106.65,64.36
2013-12-16,106.73,64.58
2013-12-17,106.91,64.88
2013-12-18,106.86,66.03
2013-12-19,106.68,65.12
2013-12-20,106.86,65.52
2013-12-23,106.81,65.65
2013-12-24,106.66,64.7
2013-12-26,106.39,64.75
2013-12-27,106.43,64.89
2013-12-30,106.53,64.91
2013-12-31,106.43,64.56
2014-01-02,106.5,64.57
2014-01-03,106.54,64.93
2014-01-06,106.68,65.26
2014-01-07,106.73,65.55
2014-01-08,106.41,65.23
2014-01-09,106.56,65.23
2014-01-10,107.1,66.12
2014-01-13,107.2,65.68
2014-01-14,107.04,66.16
2014-01-15,106.95,66.66
2014-01-16,107.2,66.78
2014-01-17,107.25,66.39
2014-01-21,107.3,66.99
2014-01-22,107.07,67.28
2014-01-23,107.35,67.12
2014-01-24,107.58,66.28
2014-01-27,107.35,65.77
2014-01-28,107.53,66.32
2014-01-29,107.85,65.96
2014-01-30,107.87,66.96
2014-01-31,108.07,67.32
2014-02-03,108.23,66.25
2014-02-04,107.97,67.05
2014-02-05,107.7,66.91
2014-02-06,107.65,67.4
2014-02-07,107.82,67.91
